user-id,class,prediction,California,Georgia,NewYork
USER_001ac628,?,Georgia,0.039565835,0.044880997,0.015553163
USER_002ac912,?,NewYork,0.009577388,0.04400201,0.046420597
USER_0089c6ed,?,NewYork,0.0027008257,0.0013675818,0.0959316
USER_00bc828f,?,NewYork,0.0025559955,0.0046833446,0.09276066
USER_00e7be97,?,NewYork,0.03670893,0.006369981,0.056921087
USER_012b2595,?,California,0.09168758,0.006805311,0.001507111
USER_0139bf5c,?,NewYork,0.010169052,0.008090909,0.08174004
USER_020719b6,?,NewYork,1.3021711e-05,4.3562977e-06,0.09998263
USER_026a085b,?,NewYork,0.0026154728,0.0028214264,0.094563104
USER_028ea70d,?,California,0.05323764,0.0377593,0.00900306
USER_03c6b720,?,NewYork,0.0034843914,0.0048648873,0.09165072
USER_03e9e8a9,?,California,0.09514477,0.001519059,0.0033361614
USER_04b3ff64,?,California,0.046505515,0.0390796,0.014414882
USER_04d5ae7e,?,Georgia,0.0029556805,0.09530895,0.0017353697
USER_04f00846,?,NewYork,0.0006050603,0.00022569671,0.09916924
USER_059e3e4b,?,NewYork,0.0022053297,0.0007053559,0.09708931
USER_060db402,?,NewYork,0.006317162,0.007780111,0.08590273
USER_0617e84c,?,California,0.09285819,0.005116995,0.0020248166
USER_066aff57,?,Georgia,7.7309654e-05,0.099757686,0.00016499945
USER_067bc0d1,?,NewYork,0.005241344,0.00410289,0.09065576
USER_06ec6026,?,NewYork,0.04036135,0.011211034,0.048427615
USER_073ae410,?,NewYork,0.014929609,0.0015021876,0.0835682
USER_07713420,?,NewYork,0.01463942,0.021585401,0.063775174
USER_07b8a39e,?,California,0.0538256,0.03541135,0.01076305
USER_087cd93c,?,Georgia,0.0054029757,0.08886974,0.0057272753
USER_08cdff74,?,NewYork,0.0021947473,0.004340739,0.09346451
USER_098e1532,?,California,0.046189744,0.0103052175,0.043505035
USER_0995db73,?,Georgia,0.0010000791,0.09851633,0.0004835963
USER_09dbf5de,?,Georgia,0.0076502273,0.07503155,0.01731822
USER_0b5fa2eb,?,NewYork,0.0066564837,0.011379981,0.08196353
USER_0bd05d33,?,Georgia,0.015072828,0.062111277,0.022815894
USER_0c09ba5c,?,Georgia,0.007630537,0.09061988,0.0017495941
USER_0c7bb665,?,NewYork,0.0008772484,0.00092321646,0.09819953
USER_0cbd8e04,?,Georgia,0.004395298,0.08848728,0.007117425
USER_0d71ddc1,?,NewYork,6.980798e-07,1.0036156e-07,0.099999204
USER_0d78e1b8,?,NewYork,0.0033087756,0.0023827536,0.094308466
USER_0ddfa5e6,?,NewYork,0.015507793,0.039428286,0.045063924
USER_0e354317,?,NewYork,0.018121677,0.029934635,0.05194369
USER_0e35810b,?,California,0.05370333,0.041272126,0.005024533
USER_0e541dce,?,NewYork,0.011353203,0.005586954,0.08305984
USER_0e8ad62f,?,NewYork,0.00040966566,0.0004973248,0.09909301
USER_0f000fe4,?,NewYork,0.00027771154,7.390792e-05,0.09964838
USER_0fbe981e,?,California,0.045950048,0.026798323,0.027251637
USER_10e660ae,?,California,0.061014496,0.006691574,0.03229393
USER_114ebefd,?,Georgia,0.025705036,0.06962939,0.0046655727
USER_11e68741,?,Georgia,0.0038628604,0.07789385,0.018243287
USER_12093513,?,NewYork,0.0078409845,0.0032907363,0.088868275
USER_1267d8f7,?,NewYork,0.0007241231,0.0004139294,0.09886195
USER_1268d148,?,NewYork,0.0031994742,0.0017969226,0.0950036
USER_12e20166,?,NewYork,0.01376423,0.0020492368,0.08418654
USER_1385a20d,?,NewYork,0.005877246,0.0024247305,0.09169801
USER_13f7c11a,?,NewYork,0.0006769538,0.0004953562,0.09882769
USER_14d8ba66,?,Georgia,0.038669605,0.039220292,0.022110106
USER_154028ac,?,California,0.09924798,0.00050633313,0.0002456911
USER_154aa5bb,?,NewYork,0.0018123218,0.0022007579,0.09598692
USER_1552bae0,?,NewYork,0.013495786,0.0058623143,0.080641896
USER_1562978a,?,NewYork,0.0041636294,0.004977579,0.090858795
USER_1577a117,?,NewYork,0.0006614412,0.0007712339,0.09856733
USER_15cb67cc,?,NewYork,0.00011510828,0.00013012813,0.099754766
USER_16d5c2a2,?,Georgia,0.010923242,0.075172745,0.013904013
USER_17436f9d,?,California,0.046626296,0.017077308,0.03629639
USER_17ad6a4d,?,NewYork,0.00013052711,0.00035205204,0.09951742
USER_17b7197e,?,NewYork,8.891128e-08,2.2118474e-08,0.09999989
USER_18043b98,?,NewYork,0.008445753,0.00968474,0.0818695
USER_18668846,?,NewYork,0.0034613223,0.002124621,0.09441406
USER_18bfa1bf,?,NewYork,0.006999193,0.0055804052,0.0874204
USER_1911ce8d,?,NewYork,0.0052927714,0.0010027097,0.093704514
USER_19325d87,?,NewYork,0.00019310418,7.7742494e-05,0.09972915
USER_1963fbc7,?,California,0.04690984,0.0435557,0.009534461
USER_19bec732,?,Georgia,0.005132911,0.09338207,0.0014850262
USER_19f5e58a,?,NewYork,0.008113869,0.009289052,0.08259708
USER_1a666e73,?,NewYork,0.04234695,0.012465132,0.045187913
USER_1ad6ec92,?,California,0.04832446,0.010027954,0.041647594
USER_1af91382,?,NewYork,0.02710306,0.008085214,0.06481173
USER_1b02b054,?,NewYork,0.006671712,0.015195036,0.078133255
USER_1b0fbdca,?,California,0.056633133,0.0037961993,0.039570674
USER_1b27e15d,?,California,0.072071254,0.013280628,0.014648114
USER_1b2d5f01,?,California,0.09996561,1.64833e-05,1.7910055e-05
USER_1b47273a,?,Georgia,0.003147445,0.09219978,0.0046527768
USER_1b593ea0,?,California,0.06384981,0.017542735,0.01860746
USER_1bad49c0,?,NewYork,0.022248408,0.025607433,0.05214416
USER_1bf805fc,?,California,0.04996568,0.010581212,0.039453108
USER_1c2bdb85,?,California,0.06691013,0.0045130923,0.02857678
USER_1c35dac9,?,California,0.04934784,0.0058359476,0.044816207
USER_1c47c320,?,Georgia,0.0131971445,0.06635994,0.020442916
USER_1c502a4a,?,NewYork,0.0027359459,0.0012663619,0.0959977
USER_1c87f445,?,California,0.057864405,0.025122115,0.017013485
USER_1cd174a5,?,California,0.09812732,0.00082679174,0.001045894
USER_1ce79b71,?,California,0.07252861,0.012603758,0.014867632
USER_1d197eb1,?,Georgia,0.009413067,0.05042057,0.040166367
USER_1d7fb750,?,NewYork,0.005180875,0.0022294447,0.09258968
USER_1d9ecd1f,?,NewYork,0.0046679154,0.008470435,0.08686165
USER_1e0d7389,?,California,0.079824515,0.0069984486,0.013177042
USER_1e29440e,?,NewYork,0.0014322948,0.0010020399,0.097565666
USER_1e2ec93e,?,California,0.057105552,0.0037652557,0.039129194
USER_1e417ec3,?,California,0.09666698,0.0006742858,0.0026587455
USER_1e8adcef,?,NewYork,0.0053329743,0.003151338,0.09151569
USER_1e9813c3,?,California,0.041663885,0.031867985,0.026468128
USER_1eb22f1f,?,California,0.06307007,0.009981891,0.026948031
USER_1eeef1ca,?,NewYork,0.0010703956,0.00068013475,0.09824948
USER_1f012225,?,NewYork,0.0012507816,0.00057882513,0.09817039
USER_1f15e428,?,NewYork,0.0016076276,0.0029713842,0.09542099
USER_1f48b92c,?,Georgia,0.028122593,0.051742278,0.020135134
USER_1fd26730,?,NewYork,0.039144523,0.021421993,0.039433476
USER_1fde2545,?,NewYork,0.04008792,0.0155867515,0.044325322
USER_1ffc01ae,?,NewYork,0.0025165728,0.0033964503,0.09408698
USER_2047ae1b,?,Georgia,0.021269929,0.05700445,0.021725623
USER_209f9da7,?,NewYork,0.0041577746,0.009705796,0.08613643
USER_21221c3a,?,NewYork,0.0009694883,0.000715744,0.09831476
USER_212f6e96,?,Georgia,0.005133571,0.087765336,0.007101091
